acc_date,type,reg,operator,fat,location,dmg,plane_type
2022-09-25 00:00:00,Fokker 50,5Y-FAI,Freedom Airline Express,0.0,Nairobi-Jomo Kenyatta International Airport (NBO/HKJK),sub,FOKKER 50
2022-09-27 00:00:00,Cessna 550 Citation II,N409ST,ABS Equipment Leasing,0.0,"Waco-McGregor Executive Airport, TX (KPWG)",sub,CESSNA 550 CITATION II
2022-09-28 00:00:00,Boeing 757-256 (WL),TF-FIK,Icelandair Flugfélag Islands,0.0,London-Heathrow Airport (LHR),sub,BOEING 757-256 (WL)
2022-09-28 00:00:00,Boeing 777-3B5ER,HL7782,Korean Air,0.0,London-Heathrow Airport (LHR),sub,BOEING 777-3B5ER
2022-09-29 00:00:00,Boeing 737-7CT (WL),N7881A,Southwest Airlines,0.0,"Denver International Airport, CO (DEN/KDEN)",non,BOEING 737-7CT (WL)
2022-10-01 00:00:00,Boeing 737-8GJ (WL),F-GZHA,Transavia France,0.0,Nantes Atlantique Airport (NTE),sub,BOEING 737-8GJ (WL)
2022-10-03 00:00:00,Boeing 737-8Q3 (WL),JA07RK,Japan Transocean Air,0.0,near Miho Airport,non,BOEING 737-8Q3 (WL)
2022-10-03 00:00:00,Embraer EMB-545 Legacy 450,N179SP,Partee Aviation LLC,0.0,"Houston-William P. Hobby Airport, TX (HOU)",sub,EMBRAER EMB-545 LEGACY 450
2022-10-03 00:00:00,Britten-Norman BN-2A-21 Islander,VH-WQA,Torres Strait Air,0.0,"Moa Island, Torres Strait",sub,BRITTEN-NORMAN BN-2A-21 ISLANDER
2022-10-05 00:00:00,ATR 42-500,SX-EIT,Sky Express,0.0,Athens-Elefthérios Venizélos International Airport (ATH/LGAV),sub,ATR 42-500
2022-10-12 00:00:00,Honda HA-420 HondaJet,N704JT,Jupiter Aviation LLC,0.0,"West Michigan Regional Airport (BIV/KBIV), Holland, MI",sub,HONDA HA-420 HONDAJET
2022-10-13 00:00:00,de Havilland Canada DHC-3T Vazar Turbine Otter,C-FDDX,True North Airways,0.0,"Lac PLuto, QC",w/o,DE HAVILLAND CANADA DHC-3T VAZAR TURBINE OTTER
2022-10-13 00:00:00,Cessna 208B Grand Caravan,OB-2228,SAETA Peru,0.0,near Jeberos,w/o,CESSNA 208B GRAND CARAVAN
2022-10-18 00:00:00,Beechcraft 99 Airliner,C6-OFM,Flamingo Air Charter,0.0,Black Point Airstrip (MYEB),sub,BEECHCRAFT 99 AIRLINER
2022-10-19 00:00:00,de Havilland Canada DHC-8-314 Dash 8,C-GJYZ,Perimeter Aviation,0.0,"Sandy Lake Airport, ON (ZSJ)",sub,DE HAVILLAND CANADA DHC-8-314 DASH 8
2022-10-22 00:00:00,Boeing 737-8AS (WL),EI-EKJ,Ryanair,0.0,Agadir-Al Massira International Airport (AGA/GMAA),non,BOEING 737-8AS (WL)
2022-10-23 00:00:00,Airbus A330-322,HL7525,Korean Air,0.0,Mactan-Cebu International Airport (CEB),sub,AIRBUS A330-322
2022-10-25 00:00:00,Cessna 208B Grand Caravan,PK-RVA,Reven Global Transpor,0.0,Ilaga Airport (ILA/WABL),sub,CESSNA 208B GRAND CARAVAN
2022-10-27 00:00:00,Canadair CL-215-6B11 (CL-415),I-DPCN,Vigili del Fuoco,2.0,"near Linguaglossa, Sicily",w/o,CANADAIR CL-215-6B11 (CL-415)
2022-10-28 00:00:00,Embraer EMB-110C Bandeirante,FAU-583,Fuerza Aérea Uruguaya - FAU,0.0,Montevideo-Carrasco Airport (MVD),sub,EMBRAER EMB-110C BANDEIRANTE
2022-11-02 00:00:00,Airbus A319-132,N519NK,Spirit Airlines,0.0,"near New Orleans, LA",non,AIRBUS A319-132
2022-11-03 00:00:00,Eclipse 550,N150NE,Elite Flight Travel,0.0,"Mesa-Falcon Field, AZ (MSC)",sub,ECLIPSE 550
2022-11-03 00:00:00,Let L-410UVP-E20,9S-GPK,Goma Express,3.0,c 115 km ESE of Kasese,w/o,LET L-410UVP-E20
2022-11-06 00:00:00,Cessna 208B Grand Caravan,AMB 0956,Aviación Militar Bolivariana,5.0,3 km from Puerto Ayacucho Airport (PYH),w/o,CESSNA 208B GRAND CARAVAN
2022-11-06 00:00:00,ATR 42-500,5H-PWF,Precision Air,19.0,off Bukoba Airport (BKZ),sub,ATR 42-500
2022-11-07 00:00:00,ATR 72-600 (72-212A),JA06JC,Japan Air Commuter,0.0,Kagoshima Airport (KOJ/RJFK),non,ATR 72-600 (72-212A)
2022-11-09 00:00:00,Boeing 737-7H4 (WL),N963WN,Southwest Airlines,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub,BOEING 737-7H4 (WL)
2022-11-09 00:00:00,Boeing 737-823 (WL),N909NN,American Airlines,0.0,"Chicago-O'Hare International Airport, IL (ORD/KORD)",sub,BOEING 737-823 (WL)
2022-11-10 00:00:00,Boeing 737 MAX 8,N316SE,American Airlines,0.0,"SE of Miami, FL",non,BOEING 737 MAX 8
2022-11-14 00:00:00,Antonov An-2,CU-A1885,Risk Mondial Aviation & Recovery,0.0,"W of Miami-Dade County, FL",sub,ANTONOV AN-2
2022-11-15 00:00:00,Honda HA-420 HondaJet,N789RJ,Andersen Air LLC,0.0,"Salt Lake City International Airport, UT (SLC)",sub,HONDA HA-420 HONDAJET
2022-11-15 00:00:00,Fairchild SA227-AT Expediter,N247DH,Ameriflight,0.0,"Pewaukee, WI",sub,FAIRCHILD SA227-AT EXPEDITER
2022-11-17 00:00:00,Embraer EMB-110P1 Bandeirante,C6-CAB,LeAir Charter Services,0.0,Nassau-Lynden Pindling International Airport (NAS/MYNN),non,EMBRAER EMB-110P1 BANDEIRANTE
2022-11-17 00:00:00,Beechcraft 1900D,VH-NYA,Penjet Pty Ltd,0.0,"Fortnum Airport (YFOR), Fortnum, WA",sub,BEECHCRAFT 1900D
2022-11-18 00:00:00,Cessna 208B Grand Caravan EX,N2069B,Raisbeck Engineering,4.0,"near Snohomish, WA",w/o,CESSNA 208B GRAND CARAVAN EX
